isoform	chrom	strand	length	exons	structural_category	associated_gene	associated_transcript	ref_length	ref_exons	diff_to_TSS	diff_to_TTS	subcategory	RTS_stage	all_canonical	min_sample_cov	min_cov	min_cov_pos	sd_cov	FL	n_indels	n_indels_junc	bite	iso_exp	gene_exp	ratio_exp	FSM_class	coding	ORF_length	CDS_length	CDS_start	CDS_end	perc_A_downstream_TTS
PB.424.1	chr1	-	2273	3	full-splice_match	BCL10	ENST00000370580.5	2819	3	545	1	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	2	NA	TRUE	NA	NA	NA	C	coding	233	702	194	895	20.0
PB.7659.2	chr6	-	3632	11	novel_in_catalog	CCNC	novel	2473	12	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	2	NA	TRUE	NA	NA	NA	C	coding	273	822	112	933	25.0
PB.2619.2	chr14	-	1585	2	full-splice_match	DNAAF2	ENST00000406043.3	2819	2	1232	2	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	280	843	377	1219	35.0
PB.393.1	chr1	+	1356	4	full-splice_match	GADD45A	ENST00000370986.8	1496	4	137	3	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	coding	165	498	298	795	5.0
PB.2745.1	chr14	-	2161	12	full-splice_match	SPTLC2	ENST00000216484.6	8170	12	-9	6018	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	coding	562	1689	204	1892	30.0
PB.8572.2	chr8	-	1749	12	full-splice_match	FAM49B	ENST00000519824.6	3798	12	170	1879	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	324	975	105	1079	15.0
PB.6414.1	chr3	+	3085	24	full-splice_match	COPG1	ENST00000314797.10	3078	24	-6	-1	multi-exon	TRUE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	coding	874	2625	111	2735	20.0
PB.1150.2	chr10	+	2046	3	full-splice_match	CCSER2	ENST00000359979.8	2066	3	15	5	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	567	1704	248	1951	40.0
PB.4896.4	chr2	+	2180	1	novel_in_catalog	DDX1	novel	2817	27	718	37036	mono-exon_by_intron_retention	FALSE	NA	NA	NA	NA	NA	NA	18	NA	NA	NA	NA	NA	C	coding	119	360	39	398	85.0
PB.1150.1	chr10	+	2447	8	incomplete-splice_match	CCSER2	ENST00000372088.7	7659	10	31	48081	3prime_fragment	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	729	2187	260	2446	75.0
PB.4136.1	chr17	+	2048	5	novel_in_catalog	SLC16A3	novel	1033	4	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	B	coding	465	1398	147	1544	25.0
PB.4136.2	chr17	+	1468	5	novel_in_catalog	SLC16A3	novel	1033	4	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	B	coding	439	1320	92	1411	35.0
PB.4896.2	chr2	+	2663	26	novel_not_in_catalog	DDX1	novel	2817	27	NA	NA	any annotated donor/acceptor	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	798	2397	69	2465	20.0
PB.3623.1	chr17	+	2506	3	full-splice_match	MIS12	ENST00000611091.4	2691	3	191	-6	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	205	618	555	1172	5.0
PB.8619.1	chr8	+	1556	5	full-splice_match	MFSD3	ENST00000301327.4	1548	5	-3	-5	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	412	1239	264	1502	20.0
PB.8431.7	chr8	-	2859	13	novel_in_catalog	ASPH	novel	5268	25	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	293	882	241	1122	30.0
PB.3623.2	chr17	+	2110	2	full-splice_match	MIS12	ENST00000573759.1	2204	2	170	-76	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	3	NA	TRUE	NA	NA	NA	C	coding	205	618	160	777	5.0
PB.3772.2	chr17	-	4874	7	novel_in_catalog	SLFN11	novel	4910	5	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	2	NA	TRUE	NA	NA	NA	A	coding	901	2706	386	3091	20.0
PB.6257.2	chr3	-	1656	4	full-splice_match	ABHD14B	ENST00000361143.9	1636	4	17	-37	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	210	633	114	746	10.0
PB.650.1	chr1	+	784	3	full-splice_match	CKS1B	ENST00000308987.5	759	3	-26	1	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	non_coding	NA	NA	NA	NA	20.0
PB.4067.2	chr17	-	2263	14	full-splice_match	ACOX1	ENST00000293217.9	7514	14	169	5082	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	9	1	TRUE	NA	NA	NA	C	coding	660	1983	122	2104	55.0
PB.9127.1	chrX	+	1957	6	full-splice_match	APEX2	ENST00000374987.3	3245	6	6	1282	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	coding	518	1557	61	1617	20.0
PB.4067.1	chr17	-	3329	14	full-splice_match	ACOX1	ENST00000293217.9	7514	14	108	4077	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	2	NA	TRUE	NA	NA	NA	C	coding	660	1983	183	2165	40.0
PB.59.1	chr1	+	955	7	full-splice_match	PARK7	ENST00000338639.9	949	7	-4	-2	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	189	570	159	728	10.0
PB.4896.1	chr2	+	2513	26	full-splice_match	DDX1	ENST00000233084.7	2739	26	226	0	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	740	2223	88	2310	20.0
PB.6120.4	chr3	-	766	1	novel_in_catalog	TBC1D5	novel	2088	9	702219	581461	mono-exon_by_intron_retention	FALSE	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	B	coding	136	411	135	545	95.0
PB.9244.4	chrX	-	3783	24	novel_in_catalog	SMARCA1	novel	4291	23	NA	NA	no_combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	1036	3111	138	3248	25.0
PB.4654.10	chr19	+	2070	13	novel_not_in_catalog	PLD3	novel	544	4	NA	NA	any annotated donor/acceptor	FALSE	canonical	NA	NA	NA	NA	NA	28	4	TRUE	NA	NA	NA	C	coding	302	909	851	1759	15.0
PB.6120.3	chr3	-	3178	22	novel_in_catalog	TBC1D5	novel	7854	22	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	10	NA	TRUE	NA	NA	NA	B	coding	795	2388	218	2605	85.0
PB.6120.1	chr3	-	6431	22	novel_in_catalog	TBC1D5	novel	7854	22	NA	NA	combination_of_known_junctions	TRUE	canonical	NA	NA	NA	NA	NA	3	NA	TRUE	NA	NA	NA	B	coding	795	2388	247	2634	30.0
PB.4806.1	chr19	-	4559	4	full-splice_match	ZNF28	ENST00000457749.6	4556	4	-3	0	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	6	NA	TRUE	NA	NA	NA	C	coding	718	2157	124	2280	20.0
PB.7188.2	chr5	-	828	4	full-splice_match	MZB1	ENST00000302125.8	825	4	-2	-1	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	189	570	61	630	20.0
PB.6491.1	chr3	-	3791	17	full-splice_match	KPNA4	ENST00000334256.8	8981	17	17	5173	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	coding	497	1494	362	1855	10.0
PB.4806.2	chr19	-	4429	3	full-splice_match	ZNF28	ENST00000391783.6	1827	3	36	-2638	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	2	NA	TRUE	NA	NA	NA	C	coding	664	1995	157	2151	20.0
PB.1913.1	chr12	-	2279	13	full-splice_match	LPCAT3	ENST00000261407.8	2268	13	-3	-8	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	487	1464	90	1553	10.0
PB.302.2	chr1	+	3371	1	genic	DPH2	novel	NA	NA	NA	NA	mono-exon	FALSE	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	C	coding	264	795	1288	2082	5.0
PB.1913.2	chr12	-	2215	1	novel_in_catalog	LPCAT3	novel	2268	13	2	40108	mono-exon_by_intron_retention	FALSE	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	C	coding	115	348	85	432	90.0
PB.665.1	chr1	+	1286	10	full-splice_match	FDPS	ENST00000447866.5	1256	10	26	-56	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	353	1062	169	1230	0.0
PB.6228.3	chr3	-	1577	9	full-splice_match	GMPPB	ENST00000308388.6	1582	9	-18	23	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	360	1083	242	1324	30.0
PB.8081.4	chr7	-	2677	5	full-splice_match	ZNF3	ENST00000424697.5	2718	5	34	7	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	12	1	TRUE	NA	NA	NA	C	coding	446	1341	173	1513	30.0
PB.8081.5	chr7	-	2597	6	full-splice_match	ZNF3	ENST00000299667.8	2799	6	11	191	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	446	1341	293	1633	90.0
PB.7058.1	chr5	+	2745	14	full-splice_match	AGGF1	ENST00000312916.11	4509	14	-30	1794	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	2	NA	TRUE	NA	NA	NA	C	coding	714	2145	413	2557	45.0
PB.8081.3	chr7	-	2811	6	full-splice_match	ZNF3	ENST00000299667.8	2799	6	-1	-11	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	446	1341	305	1645	25.0
PB.8081.1	chr7	-	2766	5	novel_in_catalog	ZNF3	novel	1441	6	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	28	NA	TRUE	NA	NA	NA	C	coding	410	1233	367	1599	20.0
PB.4375.12	chr19	-	1463	14	novel_not_in_catalog	C3	novel	5263	41	NA	NA	any annotated donor/acceptor	FALSE	non_canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	463	1392	30	1421	10.0
PB.6656.1	chr4	+	1439	2	full-splice_match	SOD3	ENST00000382120.3	1526	2	86	1	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	240	723	120	842	15.0
PB.5368.1	chr2	+	1975	16	full-splice_match	ATIC	ENST00000236959.13	2213	16	244	-6	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	592	1779	83	1861	10.0
PB.658.1	chr1	-	3144	23	full-splice_match	THBS3	ENST00000368378.7	3145	23	-1	2	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	16	3	TRUE	NA	NA	NA	A	coding	956	2871	23	2893	30.0
PB.8300.3	chr8	+	3956	1	incomplete-splice_match	SLC7A2	ENST00000494857.5	7622	13	69469	61	mono-exon	FALSE	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	B	non_coding	NA	NA	NA	NA	30.0
PB.6222.1	chr3	+	1958	3	full-splice_match	TCTA	ENST00000273590.3	2146	3	189	-1	multi-exon	TRUE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	coding	103	312	33	344	10.0
PB.8905.1	chr9	+	1932	3	incomplete-splice_match	RP11-492E3.1	ENST00000454968.5	1403	4	5204	-158	5prime_fragment	FALSE	canonical	NA	NA	NA	NA	NA	2	NA	TRUE	NA	NA	NA	A	coding	29	90	347	436	95.0
PB.8128.4	chr7	+	2059	12	full-splice_match	PSMC2	ENST00000292644.4	2637	12	-64	642	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	433	1302	65	1366	85.0
PB.7106.1	chr5	-	3518	7	full-splice_match	NUDT12	ENST00000230792.6	3492	7	-27	1	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	coding	462	1389	125	1513	5.0
PB.8128.1	chr7	+	1545	12	full-splice_match	PSMC2	ENST00000292644.4	2637	12	-69	1161	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	433	1302	70	1371	35.0
PB.8128.2	chr7	+	2069	11	novel_in_catalog	PSMC2	novel	682	6	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	270	813	1157	1969	15.0
PB.8128.3	chr7	+	2712	12	full-splice_match	PSMC2	ENST00000292644.4	2637	12	-69	-6	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	433	1302	70	1371	15.0
PB.4144.2	chr17	-	2392	9	novel_in_catalog	WDR45B	novel	2587	10	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	310	933	105	1037	35.0
PB.4144.3	chr17	-	2459	10	full-splice_match	WDR45B	ENST00000572583.5	2322	10	-126	-11	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	208	627	105	731	35.0
PB.4144.1	chr17	-	2498	10	full-splice_match	WDR45B	ENST00000392325.8	2587	10	87	2	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	344	1035	109	1143	35.0
PB.4144.4	chr17	-	2194	7	novel_in_catalog	WDR45B	novel	2587	10	NA	NA	no_combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	3	NA	TRUE	NA	NA	NA	C	coding	249	750	105	854	20.0
PB.4522.1	chr19	+	1266	9	full-splice_match	MVB12A	ENST00000317040.11	2223	9	963	-6	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	coding	273	822	93	914	15.0
PB.7801.7	chr7	+	3994	20	novel_in_catalog	SUN1	novel	520	4	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	4	NA	TRUE	NA	NA	NA	C	coding	784	2355	52	2406	10.0
PB.7801.6	chr7	+	4165	21	novel_in_catalog	SUN1	novel	520	4	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	829	2490	105	2594	40.0
PB.7801.5	chr7	+	4262	22	novel_in_catalog	SUN1	novel	520	4	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	879	2640	52	2691	40.0
PB.7801.4	chr7	+	4375	23	novel_in_catalog	SUN1	novel	520	4	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	2	NA	TRUE	NA	NA	NA	C	coding	916	2751	54	2804	40.0
PB.7801.3	chr7	+	4100	21	novel_in_catalog	SUN1	novel	520	4	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	822	2469	60	2528	40.0
PB.7801.2	chr7	+	3805	18	full-splice_match	SUN1	ENST00000389574.7	3812	18	7	0	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	3	NA	TRUE	NA	NA	NA	C	coding	702	2109	126	2234	40.0
PB.7801.1	chr7	+	4099	20	novel_in_catalog	SUN1	novel	520	4	NA	NA	no_combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	8	1	TRUE	NA	NA	NA	C	coding	800	2403	133	2535	50.0
PB.7644.2	chr6	-	2614	16	full-splice_match	RNGTT	ENST00000369485.8	4553	16	111	1828	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	2	NA	TRUE	NA	NA	NA	C	coding	597	1794	202	1995	30.0
PB.8743.1	chr9	-	2186	8	full-splice_match	CDK20	ENST00000325303.8	2175	8	11	-22	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	coding	346	1041	296	1336	15.0
PB.6567.2	chr3	-	2948	14	full-splice_match	LSG1	ENST00000265245.9	3572	14	274	350	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	9	1	TRUE	NA	NA	NA	C	coding	658	1977	42	2018	15.0
PB.2361.1	chr12	+	2399	5	full-splice_match	ZNF140	ENST00000355557.6	3550	5	1032	119	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	457	1374	252	1625	20.0
PB.5598.11	chr20	-	3655	17	novel_in_catalog	RBM39	novel	5914	18	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	2	NA	TRUE	NA	NA	NA	C	coding	373	1122	2381	3502	20.0
PB.2361.2	chr12	+	2460	6	full-splice_match	ZNF140	ENST00000536790.5	2328	6	-135	3	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	2	NA	TRUE	NA	NA	NA	C	coding	354	1065	622	1686	20.0
PB.198.1	chr1	+	2661	10	full-splice_match	GMEB1	ENST00000373816.5	6410	10	-1	3750	multi-exon	TRUE	canonical	NA	NA	NA	NA	NA	66	4	TRUE	NA	NA	NA	A	coding	563	1692	140	1831	100.0
PB.2136.1	chr12	+	6038	34	full-splice_match	MON2	ENST00000393629.6	5612	34	-20	-406	multi-exon	TRUE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	A	coding	1711	5136	381	5516	40.0
PB.6772.1	chr4	-	1253	6	full-splice_match	SNCA	ENST00000394991.7	1290	6	30	7	multi-exon	TRUE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	coding	140	423	263	685	40.0
PB.5799.1	chr21	-	4252	1	novel_in_catalog	TFF1	novel	551	3	59	2	mono-exon_by_intron_retention	FALSE	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	B	coding	157	474	41	514	15.0
PB.5368.3	chr2	+	2285	15	full-splice_match	ATIC	ENST00000435675.5	2275	15	-6	-4	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	591	1776	398	2173	15.0
PB.5351.2	chr2	+	3100	13	full-splice_match	CYP20A1	ENST00000356079.8	1949	13	35	-1186	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	462	1389	89	1477	95.0
PB.8077.1	chr7	-	2051	3	full-splice_match	AZGP1	ENST00000411734.1	2027	3	-14	-10	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	227	684	21	704	35.0
PB.4679.1	chr19	+	4005	3	full-splice_match	ZNF526	ENST00000301215.7	4023	3	18	0	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	9	NA	TRUE	NA	NA	NA	C	coding	670	2013	208	2220	90.0
PB.2613.2	chr14	-	834	7	full-splice_match	FKBP3	ENST00000396062.3	1346	7	65	447	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	224	675	9	683	35.0
PB.2341.1	chr12	+	2132	4	full-splice_match	TMED2	ENST00000262225.7	2560	4	-15	443	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	3	NA	TRUE	NA	NA	NA	A	coding	201	606	122	727	35.0
PB.4679.2	chr19	+	2822	3	full-splice_match	ZNF526	ENST00000301215.7	4023	3	52	1149	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	670	2013	174	2186	20.0
PB.1243.1	chr10	-	1789	4	full-splice_match	CALHM2	ENST00000369788.7	1843	4	47	7	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	coding	323	972	459	1430	30.0
PB.5598.12	chr20	-	2664	18	novel_in_catalog	RBM39	novel	5914	18	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	2	NA	TRUE	NA	NA	NA	C	coding	373	1122	1390	2511	20.0
PB.684.1	chr1	+	2212	4	full-splice_match	TMEM79	ENST00000295694.9	2191	4	-22	1	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	A	coding	394	1185	184	1368	0.0
PB.5000.3	chr2	+	3006	15	novel_in_catalog	MSH2	novel	3307	16	NA	NA	no_combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	884	2655	74	2728	20.0
PB.5799.2	chr21	-	3493	2	incomplete-splice_match	TFF1	ENST00000291527.2	551	3	59	2	intron_retention	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	B	coding	157	474	41	514	15.0
PB.4854.1	chr19	+	1432	4	full-splice_match	ERVK3-1	ENST00000413518.5	1469	4	24	13	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	109	330	236	565	15.0
PB.7383.2	chr6	-	1289	8	novel_in_catalog	TBC1D7	novel	2229	8	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	293	882	263	1144	15.0
PB.7383.3	chr6	-	1258	8	novel_in_catalog	TBC1D7	novel	2229	8	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	293	882	232	1113	15.0
PB.7383.1	chr6	-	1280	8	full-splice_match	TBC1D7	ENST00000379300.7	1276	8	-7	3	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	293	882	252	1133	15.0
PB.5048.2	chr2	+	2401	14	full-splice_match	GMCL1	ENST00000282570.3	4191	14	23	1767	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	515	1548	229	1776	25.0
PB.5368.2	chr2	+	2204	16	full-splice_match	ATIC	ENST00000443953.5	2187	16	-13	-4	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	533	1602	491	2092	15.0
PB.6029.4	chr22	+	4507	8	full-splice_match	NUP50	ENST00000347635.8	5233	8	129	597	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	3	NA	TRUE	NA	NA	NA	C	coding	468	1407	338	1744	90.0
PB.1128.1	chr10	-	3769	15	full-splice_match	NDST2	ENST00000309979.10	3749	15	-24	4	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	A	coding	883	2652	582	3233	5.0
PB.6029.5	chr22	+	5237	9	novel_in_catalog	NUP50	novel	5233	8	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	3	NA	TRUE	NA	NA	NA	C	coding	440	1323	565	1887	40.0
PB.9052.1	chrX	+	1591	2	full-splice_match	MAGEB2	ENST00000378988.4	1610	2	16	3	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	coding	319	960	86	1045	15.0
PB.5598.13	chr20	-	1219	1	novel_in_catalog	RBM39	novel	2831	17	42	37442	mono-exon_by_intron_retention	FALSE	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	C	non_coding	NA	NA	NA	NA	100.0
PB.8795.1	chr9	-	4189	17	novel_in_catalog	TMEM245	novel	7980	18	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	coding	871	2616	39	2654	100.0
PB.6388.1	chr3	-	3980	13	full-splice_match	CCDC14	ENST00000409697.7	2962	13	-118	-900	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	953	2862	62	2923	15.0
PB.7815.1	chr7	-	3426	1	genic	AC074389.9	novel	NA	NA	NA	NA	mono-exon	FALSE	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	A	coding	114	345	394	738	10.0
PB.7767.2	chr6	-	1306	7	full-splice_match	TFB1M	ENST00000367166.4	1424	7	-33	151	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	346	1041	90	1130	30.0
PB.7767.3	chr6	-	1450	7	novel_in_catalog	TFB1M	novel	1424	7	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	251	756	530	1285	55.0
PB.7767.4	chr6	-	2017	5	incomplete-splice_match	TFB1M	ENST00000367166.4	1424	7	0	26354	3prime_fragment	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	234	705	57	761	90.0
PB.1488.1	chr11	+	1844	8	novel_not_in_catalog	SERPING1	novel	648	3	NA	NA	any annotated donor/acceptor	FALSE	non_canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	coding	500	1503	76	1578	5.0
PB.5704.1	chr20	-	409	3	full-splice_match	ATP5E	ENST00000243997.7	3665	3	44	3212	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	non_coding	NA	NA	NA	NA	20.0
PB.8748.1	chr9	+	1059	4	full-splice_match	GADD45G	ENST00000252506.10	1065	4	-1	7	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	coding	159	480	111	590	40.0
PB.9221.1	chrX	+	4052	11	full-splice_match	IL13RA1	ENST00000371666.7	4036	11	-19	3	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	427	1284	87	1370	15.0
PB.2108.1	chr12	-	2254	17	full-splice_match	GLS2	ENST00000424141.6	2225	17	-32	3	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	coding	337	1014	709	1722	25.0
PB.1414.1	chr11	+	2499	16	full-splice_match	PRMT3	ENST00000331079.10	2653	16	186	-32	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	A	coding	531	1596	32	1627	50.0
PB.9221.2	chrX	+	1868	11	full-splice_match	IL13RA1	ENST00000371666.7	4036	11	-10	2178	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	427	1284	78	1361	0.0
PB.9076.2	chrX	-	584	3	full-splice_match	NDUFB11	ENST00000377811.3	1388	3	803	1	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	153	462	23	484	15.0
